1,101 Kingsbridge
,
2,102 NE Bronx
,
3,103 Fordham-Bronx Pk
,
4,104 Pelham-Throgs Neck
,
5,105/106/107 South Bronx
,
6,201 Greenpoint
,
7,202 Downtown-Heights-Slope
,
8,203 Bed Stuy-Crown Heights
,
9,204 East New York
,
10,205 Sunset Park
,
11,206 Borough Park
,
12,207 Flatbush
,
13,208 Canarsie
,
14,209 Bensonhurst
,
15,210 Coney Island
,
16,211 Williamsburg-Bushwk
,
17,301 Washington Heights
,
18,302 Central Harlem
,
19,303 East Harlem
,
20,304 Upper West Side
,
21,305/307 Upper East Side-Gramercy
,
22,306/308 Chelsea-Village
,
23,309/310 Union Square-Lower Manhattan
,
24,"401 LIC, Astoria"
,
25,402 West Queens
,
26,403 Flushing
,
27,404/406 Bayside Little Neck-Fresh Meadows
,
28,405 Ridgewood
,
29,407 SouthWest Queens
,
30,408 Jamaica
,
31,409 SouthEast Queens
,
32,410 Rockaway
,
33,501/502 Northern SI
,
34,503/504 Southern SI
,